Unnamed: 0,book_id,book_name,author_name,num_tokens
255,29753,The Gorgeous Girl,Nalbro Bartley,123359
256,22566,Dorothy and the Wizard in Oz,L. Frank Baum,60333
257,72869,Meet the Tiger,Leslie Charteris,113667
258,18761,The Circular Study,Anna Katharine Green,78203
259,173,The Insidious Dr. Fu Manchu,Sax Rohmer,108263
260,40403,Girls of Highland Hall: Further Adventures of the Dandelion Cottagers,Rankin,73733
261,1159,Fire-Tongue,Sax Rohmer,91393
262,23283,The Youth of Jefferson,John Esten Cooke,86487
263,1076,The Wallet of Kai Lung,Ernest Bramah,109198
264,19709,Danger in Deep Space,Carey Rockwell,74418
265,20084,The Beach of Dreams: A Romance,H. De Vere Stacpoole,96242
266,3005,Tom Swift and His Airship,Victor Appleton,62438
267,30124,"Astounding Stories, February, 1931",Various,113361
268,6073,"Smith and the Pharaohs, and other Tales",H. Rider Haggard,114956
269,6384,That Printer of Udell's: A Story of the Middle West,Harold Bell Wright,121249
270,770,The Story of the Treasure Seekers,E. Nesbit,74139
271,1837,The Prince and the Pauper,Mark Twain,106495
272,16921,Plague Ship,Andre Norton,83594
273,652,"Rasselas, Prince of Abyssinia",Samuel Johnson,55540
274,19141,Edison's Conquest of Mars,Garrett Putman Serviss,87309
275,1051,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,Thomas Carlyle,124135
276,21530,The Angel of Terror,Edgar Wallace,89206
277,22354,The Adventures of Maya the Bee,Waldemar Bonsels,55799
278,1971,"Erewhon Revisited Twenty Years Later, Both",the Original Discoverer of the…,116639
279,1145,Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim,Anthony Hope,118155
280,462,"The Errand Boy; Or, How Phil Brent Won Success",Jr. Horatio Alger,77762
281,35304,The Last Stroke: A Detective Story,Lawrence L. Lynch,100687
282,26165,Lady Luck,Hugh Wiley,68700
283,8868,Botchan (Master Darling),Soseki Natsume,67571
284,555,The Unbearable Bassington,Saki,69695
285,33407,Bee and Butterfly: A Tale of Two Cousins,Lucy Foster Madison,81428
286,29602,The Coyote,James Roberts,93192
287,54364,The Brighton Boys in the Submarine Treasure Ship,James R. Driscoll,66012
288,16865,Pinocchio: The Tale of a Puppet,Carlo Collodi,61922
289,25477,"The Curlytops on Star Island; Or, Camping out with Grandpa",Howard Roger Garis,66907
290,5076,The Spoilers,Rex Beach,121621
291,4230,"Tom Swift and His Motor-Cycle; Or, Fun and Adventures on the Road",Appleton,60654
292,71024,"The man she hated :  or, Won by strategy",Mrs. Alex. McVeigh Miller,73356
293,421,Kidnapped,Robert Louis Stevenson,114061
294,3748,A Journey into the Interior of the Earth,Jules Verne,104850
295,35505,Anna of the Five Towns,Arnold Bennett,112649
296,21034,The Corner House Girls at School,Grace Brooks Hill,80414
297,17125,More William,Richmal Crompton,73475
298,361,Miss Billy — Married,Eleanor H. Porter,112749
299,28813,The Electronic Mind Reader: A Rick Brant Science-Adventure Story,Goodwin,66556
300,47597,"Deering of Deal; Or, The Spirit of the School",Latta Griswold,117957
301,10556,The Old Man in the Corner,Baroness Emmuska Orczy Orczy,99270
302,53997,Hills of Han: A Romantic Incident,Samuel Merwin,120990
303,7498,Five Little Peppers Grown Up,Margaret Sidney,119457
